Sex,Age,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Female,23,40.587431693989075,32.51975417032485,38.77433309300649,48.056930693069305,42.38683127572016
Male,21,48.7508218277449,40.67175572519084,44.744218640504556,51.23179611650485,37.73913043478261
Male,55,41.57232704402516,34.413265306122454,39.31086142322098,51.1783042394015,38.47509578544061
Male,35,40.203813280736355,36.854961832061065,37.73651016117729,53.05218446601942,45.644268774703555
Male,35,47.43589743589743,34.56488549618321,48.24807288016819,48.80461165048544,39.3201581027668
Female,19,35.140186915887845,33.23996971990916,49.116828929068156,49.09673286354901,39.01182432432432
Female,52,53.08668076109936,26.900406504065035,43.46986089644513,53.49068322981367,34.82567353407289
Female,25,41.95355191256831,34.27568042142231,31.564527757750543,46.20049504950495,40.74074074074074
Female,29,44.685792349726775,33.397717295873576,37.3323720259553,52.38861386138614,49.794238683127574
Male,53,40.17470300489168,36.964285714285715,29.57303370786517,47.437655860349125,47.67049808429118
Male,24,47.43589743589743,35.32824427480916,44.744218640504556,59.12014563106796,32.99604743083003
Male,25,61.242603550295854,39.908396946564885,39.13805185704275,56.08616504854369,33.786561264822126
Male,35,36.25904010519395,37.61832061068702,38.43728100911002,49.411407766990294,39.3201581027668
Male,43,43.668763102725364,39.51530612244898,33.3183520599251,60.52992518703242,49.20306513409961
Male,46,44.3675751222921,35.26360544217687,40.05992509363296,56.16583541147132,40.007662835249036
Female,22,39.904371584699454,28.129938542581215,33.006488824801735,48.056930693069305,38.27160493827161
Male,45,42.27113906359189,35.26360544217687,39.31086142322098,58.03615960099751,35.40996168582375
Female,27,48.78415300546448,34.27568042142231,37.3323720259553,50.53217821782178,46.50205761316872
Male,23,40.203813280736355,33.80152671755725,36.334968465311846,44.557038834951456,45.644268774703555
Female,55,44.630021141649046,12.672764227642269,32.65069551777434,48.52173913043479,33.24088748019017
Female,43,52.38195912614517,37.0630081300813,31.877897990726428,48.52173913043479,41.1648177496038
Female,50,52.38195912614517,27.91666666666666,40.37867078825347,47.27950310559007,34.03328050713153
Male,42,49.25925925925926,39.51530612244898,41.55805243445693,57.412718204488776,37.70881226053639
Female,30,33.7568306010929,28.129938542581215,33.006488824801735,49.29455445544554,48.97119341563786
Female,42,41.81113460183227,22.83536585365853,24.149922720247293,50.38509316770187,42.74960380348652
Female,35,36.48907103825137,38.66549604916594,35.89041095890411,51.1509900990099,37.44855967078189
Female,51,43.22057787174066,32.99796747967479,27.241112828438947,57.838509316770185,34.82567353407289
