Sex,Age,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Male,29,48.7508218277449,41.43511450381679,47.54730203223546,50.625,41.69169960474308
Male,25,49.408284023668635,30.748091603053435,47.54730203223546,48.80461165048544,32.20553359683794
Male,22,45.46351084812623,34.56488549618321,46.14576033637001,45.77063106796116,36.94861660079051
Female,34,34.439890710382514,33.397717295873576,35.89041095890411,53.62623762376238,46.50205761316872
Male,20,46.942094990240726,36.37107776261937,49.54451345755694,53.89134554643083,36.273241713823765
Male,41,42.27113906359189,37.814625850340136,37.81273408239701,50.55486284289277,43.0727969348659
Female,48,42.51585623678647,29.949186991869915,28.786707882534774,49.7639751552795,39.580031695721075
Male,24,44.148586456278764,42.961832061068705,41.94113524877365,47.59101941747573,30.62450592885375
Female,22,39.904371584699454,26.374012291483762,31.564527757750543,49.29455445544554,37.44855967078189
Male,35,37.573964497041416,37.61832061068702,45.44498948843728,47.59101941747573,30.62450592885375
Male,43,48.56044723969252,30.161564625850342,35.56554307116105,48.061097256857856,46.137931034482754
Female,38,41.27049180327869,24.61808604038631,39.49531362653209,41.86881188118812,38.27160493827161
Male,30,42.17619986850756,39.908396946564885,47.54730203223546,51.838592233009706,50.387351778656125
Female,37,39.904371584699454,29.007901668129943,48.86806056236482,49.29455445544554,34.97942386831276
Female,27,50.833333333333336,33.397717295873576,40.216294160057686,48.67574257425743,35.80246913580247
Female,38,39.904371584699454,42.17734855136084,39.49531362653209,48.67574257425743,35.80246913580247
Male,20,42.38776837996096,43.192360163710774,44.02346445824707,45.67909033480733,40.31527890056588
Male,20,44.33962264150943,42.51023192360164,52.99516908212561,58.94504106127606,43.54890864995958
Female,29,40.587431693989075,29.88586479367867,39.49531362653209,53.007425742574256,38.27160493827161
Male,52,49.958071278826,39.51530612244898,38.56179775280899,49.93142144638404,46.137931034482754
Female,45,48.15362931642001,21.819105691056905,33.42349304482225,57.21739130434783,31.656101426307444
Female,27,52.19945355191257,26.374012291483762,42.379235760634465,49.29455445544554,37.44855967078189
Male,44,52.75331935709294,34.413265306122454,28.0749063670412,55.542394014962596,40.007662835249036
Female,34,40.587431693989075,28.129938542581215,37.3323720259553,54.245049504950494,34.15637860082305
Female,34,41.27049180327869,34.27568042142231,36.61139149242971,51.1509900990099,39.09465020576132
Female,40,37.17213114754098,22.862159789288853,39.49531362653209,56.101485148514854,31.68724279835391
Male,30,39.54635108481262,40.67175572519084,39.13805185704275,60.94053398058252,37.73913043478261
Male,26,45.46351084812623,42.19847328244275,40.5395935529082,59.726941747572816,32.99604743083003
Female,24,43.31967213114754,47.445127304653205,34.448449891852924,49.29455445544554,36.62551440329218
Male,42,49.25925925925926,39.51530612244898,25.82771535580525,51.80174563591022,36.94252873563218
Male,27,35.60157790927021,39.908396946564885,39.83882270497547,57.90655339805825,24.300395256916996
Male,47,42.96995108315863,31.011904761904763,43.0561797752809,59.28304239401496,28.513409961685817
Male,51,41.57232704402516,48.0187074829932,33.3183520599251,54.29551122194514,44.60536398467433
Female,31,48.10109289617486,27.25197541703249,37.3323720259553,48.056930693069305,39.91769547325103
Male,50,45.06638714185884,34.413265306122454,31.07116104868914,49.30798004987531,40.007662835249036
Female,26,43.31967213114754,23.74012291483758,47.42609949531363,51.1509900990099,31.68724279835391
Female,47,46.74418604651162,23.851626016260155,40.37867078825347,46.6583850931677,38.78763866877971
Male,39,42.17619986850756,36.854961832061065,46.846531184302734,55.47936893203884,42.48221343873517
Male,31,52.69559500328731,39.908396946564885,43.3426769446391,54.872572815533985,36.158102766798415
Male,45,36.680642907058,33.56292517006803,37.81273408239701,64.27057356608479,44.60536398467433
Female,42,46.03946441155743,24.867886178861784,38.06027820710973,54.11180124223603,43.54199683042789
Female,22,50.150273224043715,36.90956979806849,40.93727469358328,44.34405940594059,38.27160493827161
Female,40,43.31967213114754,26.374012291483762,43.10021629416006,45.58168316831683,33.33333333333333
Female,46,46.74418604651162,38.079268292682926,32.65069551777434,52.869565217391305,36.41045958795562
Female,39,46.05191256830601,23.74012291483758,38.77433309300649,43.725247524752476,37.44855967078189
Male,22,44.80604865220249,39.145038167938935,47.54730203223546,56.08616504854369,41.69169960474308
Male,52,47.162823200559046,37.814625850340136,38.56179775280899,49.30798004987531,46.137931034482754
Male,31,44.80604865220249,49.83206106870229,38.43728100911002,51.838592233009706,51.17786561264822
Male,39,42.833662064431294,45.25190839694657,40.5395935529082,56.08616504854369,26.67193675889328
Male,25,43.49112426035503,40.67175572519084,44.744218640504556,51.23179611650485,32.20553359683794
Female,32,48.10109289617486,33.397717295873576,40.93727469358328,53.007425742574256,31.68724279835391
Male,27,50.06574621959237,44.48854961832061,53.85423966362999,56.692961165048544,40.11067193675889
Male,48,40.17470300489168,31.011904761904763,37.81273408239701,51.80174563591022,46.90421455938697
Male,46,48.56044723969252,29.31122448979592,39.31086142322098,54.918952618453865,40.77394636015325
Male,27,42.833662064431294,42.961832061068705,39.13805185704275,51.838592233009706,45.644268774703555
Female,48,46.03946441155743,13.689024390243894,23.37712519319938,53.49068322981367,33.24088748019017
Female,41,46.03946441155743,11.656504065040643,24.149922720247293,47.900621118012424,36.41045958795562
Male,50,49.958071278826,42.066326530612244,34.06741573033708,54.29551122194514,52.26819923371647
Male,35,42.833662064431294,45.25190839694657,43.3426769446391,50.625,50.387351778656125
Female,27,41.95355191256831,39.54345917471467,38.77433309300649,51.76980198019802,45.67901234567901
Male,39,50.06574621959237,43.725190839694655,34.93342676944639,56.08616504854369,33.786561264822126
Female,52,40.401691331923885,15.721544715447145,43.46986089644513,47.900621118012424,37.995245641838345
Male,51,54.15094339622641,40.3656462585034,35.56554307116105,51.80174563591022,40.007662835249036
Female,50,39.696969696969695,17.754065040650396,35.74188562596599,58.45962732919255,42.74960380348652
Male,54,47.162823200559046,36.964285714285715,25.82771535580525,54.29551122194514,45.37164750957854
Male,26,54.01051939513478,36.091603053435115,45.44498948843728,43.34344660194175,31.415019762845848
Male,21,40.203813280736355,46.778625954198475,36.334968465311846,62.154126213592235,46.43478260869565
Male,51,44.3675751222921,40.3656462585034,35.56554307116105,57.412718204488776,54.56704980842911
Male,19,39.13467794404684,41.14597544338335,47.47412008281574,49.46936197094125,37.081649151172186
Female,24,45.368852459016395,29.88586479367867,33.727469358327326,49.913366336633665,25.102880658436213
Female,43,47.44890768146582,21.819105691056905,41.151468315301386,45.41614906832299,32.448494453248806
Female,18,41.815754339118826,34.753974261922785,33.817802503477054,49.73734785393978,33.09966216216216
Male,54,60.44025157232704,35.26360544217687,42.30711610486892,54.29551122194514,43.0727969348659
Female,31,43.31967213114754,36.03160667251976,43.10021629416006,42.48762376237624,34.15637860082305
Female,26,50.150273224043715,39.54345917471467,37.3323720259553,47.43811881188119,28.395061728395063
